"","Car_name","fueltypes","aspiration","doornumbers","carbody","drivewheels","cylindernumber","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","avg_mpg","price"
"1","alfa-romero",1,1,2,4,2,4,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,34.5,13495
"2","alfa-romero",1,1,2,4,2,4,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,34.5,16500
"3","alfa-romero",1,1,2,1,2,6,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,32,16500
"4","audi",1,1,4,2,1,4,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,39,13950
"5","audi",1,1,4,2,3,5,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,29,17450
"6","audi",1,1,2,2,1,5,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,31.5,15250
"7","audi",1,1,4,2,1,5,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,31.5,17710
"8","audi",1,1,4,3,1,5,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,31.5,18920
"9","audi",1,2,4,2,1,5,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,27,23875
"10","audi",1,2,2,1,3,5,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,27,17859.167
"11","bmw",1,1,2,2,2,4,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,37.5,16430
"12","bmw",1,1,4,2,2,4,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,37.5,16925
"13","bmw",1,1,2,2,2,6,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,35,20970
"14","bmw",1,1,4,2,2,6,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,35,21105
"15","bmw",1,1,4,2,2,6,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,32.5,24565
"16","bmw",1,1,4,2,2,6,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,27,30760
"17","bmw",1,1,2,2,2,6,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,27,41315
"18","bmw",1,1,4,2,2,6,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,25,36880
"19","chevrolet",1,1,2,1,1,3,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,73.5,5151
"20","chevrolet",1,1,2,1,1,4,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,59.5,6295
"21","chevrolet",1,1,4,2,1,4,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,59.5,6575
"22","dodge",1,1,2,1,1,4,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,57.5,5572
"23","dodge",1,1,2,1,1,4,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,50,6377
"24","dodge",1,2,2,1,1,4,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,39,7957
"25","dodge",1,1,4,1,1,4,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,50,6229
"26","dodge",1,1,4,2,1,4,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,50,6692
"27","dodge",1,1,4,2,1,4,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,50,7609
"28","dodge",1,2,2,2,1,4,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,39,8558
"29","dodge",1,1,4,3,1,4,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,39,8921
"30","dodge",1,2,2,1,1,4,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,31,12964
"31","honda",1,1,2,1,1,4,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,76,6479
"32","honda",1,1,2,1,1,4,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,50,6855
"33","honda",1,1,2,1,1,4,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,59,5399
"34","honda",1,1,2,1,1,4,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,47,6529
"35","honda",1,1,2,1,1,4,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,47,7129
"36","honda",1,1,4,2,1,4,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,47,7295
"37","honda",1,1,4,3,1,4,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,47,7295
"38","honda",1,1,2,1,1,4,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,43.5,7895
"39","honda",1,1,2,1,1,4,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,43.5,9095
"40","honda",1,1,4,2,1,4,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,43.5,8845
"41","honda",1,1,4,2,1,4,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,43.5,10295
"42","honda",1,1,4,2,1,4,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,38,12945
"43","honda",1,1,2,2,1,4,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,40.5,10345
"44","isuzu",1,1,4,2,2,4,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,38.5,6785
"45","isuzu",1,1,2,2,1,4,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,59.5,8916.5
"46","isuzu",1,1,4,2,1,4,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,59.5,8916.5
"47","isuzu",1,1,2,1,2,4,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,38.5,11048
"48","jaguar",1,1,4,2,2,6,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,24.5,32250
"49","jaguar",1,1,4,2,2,6,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,24.5,35550
"50","jaguar",1,1,2,2,2,12,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,21.5,36000
"51","maxda",1,1,2,1,1,4,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,45.5,5195
"52","maxda",1,1,2,1,1,4,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,50,6095
"53","mazda",1,1,2,1,1,4,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,50,6795
"54","mazda",1,1,4,2,1,4,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,50,6695
"55","mazda",1,1,4,2,1,4,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,50,7395
"56","mazda",1,1,2,1,2,2,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,28.5,10945
"57","mazda",1,1,2,1,2,2,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,28.5,11845
"58","mazda",1,1,2,1,2,2,95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,28.5,13645
"59","mazda",1,1,2,1,2,2,95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,27.5,15645
"60","mazda",1,1,2,1,1,4,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,42,8845
"61","mazda",1,1,4,2,1,4,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,42,8495
"62","mazda",1,1,2,1,1,4,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,42,10595
"63","mazda",1,1,4,2,1,4,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,42,10245
"64","mazda",2,1,4,2,1,4,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,57,10795
"65","mazda",1,1,4,1,1,4,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,42,11245
"66","mazda",1,1,4,2,2,4,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,32.5,18280
"67","mazda",2,1,4,2,2,4,104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,4200,50.5,18344
"68","buick",2,2,4,2,2,5,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,34.5,25552
"69","buick",2,2,4,3,2,5,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,34.5,28248
"70","buick",2,2,2,4,2,5,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,34.5,28176
"71","buick",2,2,4,2,2,5,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,34.5,31600
"72","buick",1,1,4,2,2,8,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,25,34184
"73","buick",1,1,2,4,2,8,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,25,35056
"74","buick",1,1,4,2,2,8,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,4500,22,40960
"75","buick",1,1,2,4,2,8,112,199.2,72,55.4,3715,304,3.8,3.35,8,184,4500,22,45400
"76","mercury",1,2,2,1,2,4,102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,5000,31,16503
"77","mitsubishi",1,1,2,1,1,4,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,57.5,5389
"78","mitsubishi",1,1,2,1,1,4,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,50,6189
"79","mitsubishi",1,1,2,1,1,4,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,50,6669
"80","mitsubishi",1,2,2,1,1,4,93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,39,7689
"81","mitsubishi",1,2,2,1,1,4,96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,38,9959
"82","mitsubishi",1,1,2,1,1,4,96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,41,8499
"83","mitsubishi",1,2,2,1,1,4,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,5000,31,12629
"84","mitsubishi",1,2,2,1,1,4,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,5000,31,14869
"85","mitsubishi",1,2,2,1,1,4,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,5000,31,14489
"86","mitsubishi",1,1,4,2,1,4,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,41,6989
"87","mitsubishi",1,1,4,2,1,4,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,41,8189
"88","mitsubishi",1,2,4,2,1,4,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,38,9279
"89","mitsubishi",1,1,4,2,1,4,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,38,9279
"90","Nissan",1,1,2,2,1,4,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,49.5,5499
"91","nissan",2,1,2,2,1,4,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,70,7099
"92","nissan",1,1,2,2,1,4,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,49.5,6649
"93","nissan",1,1,4,2,1,4,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,49.5,6849
"94","nissan",1,1,4,3,1,4,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,49.5,7349
"95","nissan",1,1,2,2,1,4,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,49.5,7299
"96","nissan",1,1,2,1,1,4,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,49.5,7799
"97","nissan",1,1,4,2,1,4,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,49.5,7499
"98","nissan",1,1,4,3,1,4,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,49.5,7999
"99","nissan",1,1,2,4,1,4,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,49.5,8249
"100","nissan",1,1,4,1,1,4,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,44,8949
"101","nissan",1,1,4,2,1,4,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,44,9549
"102","nissan",1,1,4,2,1,6,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,5200,28,13499
"103","nissan",1,1,4,3,1,6,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,5200,28,14399
"104","nissan",1,1,4,2,1,6,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,5200,31.5,13499
"105","nissan",1,1,2,1,2,6,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,5200,31.5,17199
"106","nissan",1,2,2,1,2,6,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,28.5,19699
"107","nissan",1,1,2,1,2,6,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,5200,31.5,18399
"108","peugeot",1,1,4,2,2,4,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,31,11900
"109","peugeot",2,2,4,2,2,4,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,4150,44.5,13200
"110","peugeot",1,1,4,3,2,4,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,31,12440
"111","peugeot",2,2,4,3,2,4,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,4150,37.5,13860
"112","peugeot",1,1,4,2,2,4,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,31,15580
"113","peugeot",2,2,4,2,2,4,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,44.5,16900
"114","peugeot",1,1,4,3,2,4,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,31,16695
"115","peugeot",2,2,4,3,2,4,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,4150,37.5,17075
"116","peugeot",1,1,4,2,2,4,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,31,16630
"117","peugeot",2,2,4,2,2,4,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,44.5,17950
"118","peugeot",1,2,4,2,2,4,108,186.7,68.3,56,3130,134,3.61,3.21,7,142,5600,30,18150
"119","plymouth",1,1,2,1,1,4,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,57.5,5572
"120","plymouth",1,2,2,1,1,4,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,39,7957
"121","plymouth",1,1,4,1,1,4,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,50,6229
"122","plymouth",1,1,4,2,1,4,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,50,6692
"123","plymouth",1,1,4,2,1,4,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,50,7609
"124","plymouth",1,1,4,3,1,4,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,39,8921
"125","plymouth",1,2,2,1,2,4,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,5000,31,12764
"126","porsche",1,1,2,1,2,4,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,32.5,22018
"127","porcshce",1,1,2,4,2,6,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,29.5,32528
"128","porsche",1,1,2,4,2,6,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,29.5,34028
"129","porsche",1,1,2,4,2,6,89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,5900,29.5,37028
"130","porsche",1,1,2,1,2,8,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,5750,31,31400.5
"131","renault",1,1,4,3,1,4,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,38.5,9295
"132","renault",1,1,2,1,1,4,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,38.5,9895
"133","saab",1,1,2,1,1,4,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,35,11850
"134","saab",1,1,4,2,1,4,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,35,12170
"135","saab",1,1,2,1,1,4,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,35,15040
"136","saab",1,1,4,2,1,4,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,35,15510
"137","saab",1,2,2,1,1,4,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,5500,32,18150
"138","saab",1,2,4,2,1,4,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,5500,32,18620
"139","subaru",1,1,2,1,1,4,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,4900,49,5118
"140","subaru",1,1,2,1,1,4,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,41.5,7053
"141","subaru",1,1,2,1,3,4,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,41.5,7603
"142","subaru",1,1,4,2,1,4,97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,50.5,7126
"143","subaru",1,1,4,2,1,4,97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,44.5,7775
"144","subaru",1,1,4,2,1,4,97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,5200,42,9960
"145","subaru",1,1,4,2,3,4,97,172,65.4,54.3,2385,108,3.62,2.64,9,82,4800,36.5,9233
"146","subaru",1,2,4,2,3,4,97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,38.5,11259
"147","subaru",1,1,4,3,1,4,97,173.5,65.4,53,2290,108,3.62,2.64,9,82,4800,44,7463
"148","subaru",1,1,4,3,1,4,97,173.5,65.4,53,2455,108,3.62,2.64,9,94,5200,40.5,10198
"149","subaru",1,1,4,3,3,4,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,4800,37.5,8013
"150","subaru",1,2,4,3,3,4,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,34.5,11694
"151","toyota",1,1,2,1,1,4,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,4800,54.5,5348
"152","toyota",1,1,2,1,1,4,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,4800,50,6338
"153","toyota",1,1,4,1,1,4,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,4800,50,6488
"154","toyota",1,1,4,3,1,4,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,4800,49.5,6918
"155","toyota",1,1,4,3,3,4,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,4800,43,7898
"156","toyota",1,1,4,3,3,4,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9,62,4800,43,8778
"157","toyota",1,1,4,2,1,4,95.7,166.3,64.4,53,2081,98,3.19,3.03,9,70,4800,48.5,6938
"158","toyota",1,1,4,1,1,4,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9,70,4800,48.5,7198
"159","toyota",2,1,4,2,1,4,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,4500,52,7898
"160","toyota",2,1,4,1,1,4,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,61.5,7788
"161","toyota",1,1,4,2,1,4,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,4800,61.5,7738
"162","toyota",1,1,4,1,1,4,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,4800,45,8358
"163","toyota",1,1,4,2,1,4,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,4800,45,9258
"164","toyota",1,1,2,2,2,4,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,4800,46,8058
"165","toyota",1,1,2,1,2,4,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,4800,46,8238
"166","toyota",1,1,2,2,2,4,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,6600,40.5,9298
"167","toyota",1,1,2,1,2,4,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,6600,40.5,9538
"168","toyota",1,1,2,4,2,4,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,4800,39,8449
"169","toyota",1,1,2,4,2,4,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,4800,39,9639
"170","toyota",1,1,2,1,2,4,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,4800,39,9989
"171","toyota",1,1,2,4,2,4,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,4800,39,11199
"172","toyota",1,1,2,1,2,4,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,4800,39,11549
"173","toyota",1,1,2,4,2,4,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,4800,39,17669
"174","toyota",1,1,4,2,1,4,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,46,8948
"175","toyota",2,2,4,2,1,4,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,46.5,10698
"176","toyota",1,1,4,1,1,4,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,43,9988
"177","toyota",1,1,4,2,1,4,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,43,10898
"178","toyota",1,1,4,1,1,4,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,43,11248
"179","toyota",1,1,2,1,2,6,102.9,183.5,67.7,52,2976,171,3.27,3.35,9.3,161,5200,32,16558
"180","toyota",1,1,2,1,2,6,102.9,183.5,67.7,52,3016,171,3.27,3.35,9.3,161,5200,31,15998
"181","toyota",1,1,4,2,2,6,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,32,15690
"182","toyouta",1,1,4,3,2,6,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,31,15750
"183","vokswagen",2,1,2,2,1,4,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23,52,4800,60,7775
"184","volkswagen",1,1,2,2,1,4,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9,85,5250,44,7975
"185","volkswagen",2,1,4,2,1,4,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23,52,4800,60,7995
"186","volkswagen",1,1,4,2,1,4,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9,85,5250,44,8195
"187","volkswagen",1,1,4,2,1,4,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9,85,5250,44,8495
"188","volkswagen",2,2,4,2,1,4,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23,68,4500,58,9495
"189","volkswagen",1,1,4,2,1,4,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10,100,5500,42,9995
"190","vw",1,1,2,4,1,4,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,38.5,11595
"191","vw",1,1,2,1,1,4,94.5,165.7,64,51.4,2221,109,3.19,3.4,8.5,90,5500,38.5,9980
"192","volkswagen",1,1,4,2,1,5,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,31,13295
"193","volkswagen",2,2,4,2,1,4,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23,68,4500,52,13845
"194","volkswagen",1,1,4,3,1,4,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9,88,5500,40.5,12290
"195","volvo",1,1,4,2,2,4,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,37,12940
"196","volvo",1,1,4,3,2,4,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,37,13415
"197","volvo",1,1,4,2,2,4,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,38,15985
"198","volvo",1,1,4,3,2,4,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,38,16515
"199","volvo",1,2,4,2,2,4,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,28,18420
"200","volvo",1,2,4,3,2,4,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,28,18950
"201","volvo",1,1,4,2,2,4,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,37,16845
"202","volvo",1,2,4,2,2,4,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,31.5,19045
"203","volvo",1,1,4,2,2,6,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,29.5,21485
"204","volvo",2,2,4,2,2,6,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23,106,4800,39.5,22470
"205","volvo",1,2,4,2,2,4,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,31.5,22625
