YEAR,AbGDP,AbPop,PopGrRate,AbMigrInd,OilPrice
1962,3223,1332,1.10,7,2.9
1963,3470,1369,1.13,4,2.89
1964,3737,1403,1.16,-2,2.88
1965,4018,1429,1.18,-5,2.86
1966,4432,1450,1.20,-8,2.88
1967,5016,1463,1.21,6,2.92
1968,5380,1490,1.23,15,2.94
1969,5934,1524,1.26,17,3.09
1970,6548,1559,1.29,17,3.18
1971,7097,1595,1.31,14,3.39
1972,7787,1672,1.38,4,3.39
1973,8868,1700,1.40,7,3.89
1974,11241,1731,1.43,6,6.87
1975,15746,1760,1.45,29,7.67
1976,18598,1814,1.50,34,8.19
1977,21321,1874,1.54,40,8.57
1978,24424,1954,1.61,36,9
1979,28968,2029,1.67,35,12.64
1980,35480,2105,1.74,52,21.59
1981,43148,2201,1.81,58,31.77
1982,51985,2304,1.90,43,28.52
1983,55497,2377,1.96,-10,26.19
1984,56911,2399,1.98,-32,25.88
1985,60451,2399,1.98,-18,24.09
1986,64664,2411,1.99,-3,12.51
1987,56617,2439,2.01,-30,15.4
1988,58431,2444,2.01,-13,12.58
1989,62321,2463,2.03,7,15.86
1990,65711,2504,2.06,21,20.03
1991,71446,2556,2.11,19,16.54
1992,71306,2601,2.14,11,15.99
1993,72273,2649,2.18,10,14.25
1994,77770,2688,2.22,7,13.19